unix,uniques,pageviews
1562428800,0,0
1562425200,0,0
1562421600,0,0
1562418000,0,0
1562414400,0,0
1562410800,113,406
1562407200,135,570
1562403600,103,430
1562400000,155,544
1562396400,200,930
1562392800,256,1007
1562389200,359,1487
1562385600,447,2021
1562382000,522,2146
1562378400,510,2401
1562374800,583,2388
1562371200,535,2443
1562367600,1131,4724
1562364000,1178,4843
1562360400,1239,5154
1562356800,1274,5065
1562353200,1438,5719
1562349600,1462,6259
1562346000,1438,5733
1562342400,1388,5572
1562338800,1428,5736
1562335200,1370,5386
1562331600,1068,4151
1562328000,762,3070
1562324400,459,1951
1562320800,323,1171
1562317200,232,1146
1562313600,296,1453
1562310000,393,1602
1562306400,535,2389
1562302800,722,3118
1562299200,891,3591
1562295600,1032,4296
1562292000,1161,5204
1562288400,952,3959
1562284800,882,3592
1562281200,867,3815
1562277600,828,3402
1562274000,913,3627
1562270400,945,3587
1562266800,931,3977
1562263200,991,4759
1562259600,1045,4546
1562256000,1041,4880
1562252400,966,3835
1562248800,834,3664
1562245200,796,3735
1562241600,575,2921
1562238000,401,1752
1562234400,299,1419
1562230800,266,1223
1562227200,333,1703
1562223600,478,2315
1562220000,583,2810
1562216400,783,4197
1562212800,1019,4426
1562209200,1088,4767
1562205600,1288,5328
1562202000,1263,5585
1562198400,1224,4709
1562194800,1243,4749
1562191200,1312,5679
1562187600,1394,5820
1562184000,1496,6332
1562180400,1534,6149
1562176800,1600,7290
1562173200,1730,7084
1562169600,1762,7085
1562166000,1847,7635
1562162400,1663,6870
1562158800,1538,6939
1562155200,1111,4793
1562151600,691,3020
1562148000,466,2052
1562144400,345,1460
1562140800,387,2090
1562137200,473,2052
1562133600,690,3760
1562130000,918,3737
1562126400,1233,5286
1562122800,1587,7297
1562119200,1728,7439
1562115600,1561,7073
1562112000,1417,6265
1562108400,1349,6194
1562104800,1338,5850
1562101200,1393,6065
1562097600,1507,6589
1562094000,1487,6318
1562090400,1606,7478
1562086800,1696,7141
1562083200,1730,7782
